name,date_utc,success
SXM-7,2020-12-13T17:30:00.000Z,True
NROL-108,2020-12-19T14:00:00.000Z,True
Turksat 5A,2021-01-08T02:15:00.000Z,True
Starlink-16 (v1.0),2021-01-20T13:02:00.000Z,True
Transporter-1,2021-01-24T15:00:00.000Z,True
Starlink-18 (v1.0),2021-02-04T06:19:00.000Z,True
Starlink-19 (v1.0),2021-02-16T03:59:00.000Z,True
Starlink-17 (v1.0),2021-03-04T08:24:00.000Z,True
Starlink-20 (v1.0),2021-03-11T08:13:00.000Z,True
Starlink-21 (v1.0),2021-03-14T10:01:00.000Z,True
Starlink-22 (v1.0),2021-03-24T08:28:00.000Z,True
Starlink-23 (v1.0),2021-04-07T16:34:00.000Z,True
Crew-2,2021-04-23T09:49:00.000Z,True
Starlink-24 (v1.0),2021-04-29T03:44:00.000Z,True
Starlink-25 (v1.0),2021-05-04T19:01:00.000Z,True
Starlink-27 (v1.0),2021-05-09T06:42:00.000Z,True
Starlink-26 (v1.0) + Capella-6 + Tyvak-0130,2021-05-15T22:54:00.000Z,True
Starlink-28 (v1.0),2021-05-26T18:59:00.000Z,True
CRS-22 & IROSA,2021-06-03T17:29:00.000Z,True
SXM-8,2021-06-06T04:26:00.000Z,True
GPS III SV05,2021-06-17T16:09:00.000Z,True
Transporter-2,2021-06-30T19:31:00.000Z,True
CRS-23,2021-08-29T07:14:00.000Z,True
Starlink 2-1 (v1.5),2021-09-14T03:55:00.000Z,True
Inspiration4,2021-09-16T00:02:00.000Z,True
Crew-3,2021-11-11T02:03:00.000Z,True
Starlink 4-1 (v1.5),2021-11-13T12:40:00.000Z,True
DART,2021-11-24T06:20:00.000Z,True
Starlink 4-3 (v1.5),2021-12-01T23:20:00.000Z,True
IXPE,2021-12-09T06:00:00.000Z,True
Starlink 4-4 (v1.5),2021-12-18T12:41:40.000Z,True
Türksat 5B,2021-12-19T03:58:00.000Z,True
CRS-24,2021-12-21T10:06:00.000Z,True
Starlink 4-5 (v1.5),2022-01-06T21:49:00.000Z,True
Transporter-3,2022-01-13T15:25:00.000Z,True
Starlink 4-6 (v1.5),2022-01-19T00:04:00.000Z,True
CSG-2,2022-01-31T23:11:12.000Z,True
NROL-87,2022-02-02T20:18:00.000Z,True
Starlink 4-7 (v1.5),2022-02-03T18:13:00.000Z,True
Starlink 4-8 (v1.5),2022-02-21T14:44:00.000Z,True
Starlink 4-11 (v1.5),2022-02-25T17:12:00.000Z,True
Starlink 4-9 (v1.5),2022-03-03T14:35:00.000Z,True
Starlink 4-10 (v1.5),2022-03-09T13:45:00.000Z,True
Starlink 4-12 (v1.5),2022-03-19T03:24:00.000Z,True
Transporter-4,2022-04-01T16:24:00.000Z,True
Ax-1,2022-04-08T15:17:00.000Z,True
NROL-85,2022-04-17T13:13:00.000Z,True
Starlink 4-14 (v1.5),2022-04-21T15:16:00.000Z,True
Crew-4,2022-04-27T07:52:00.000Z,True
Starlink 4-16 (v1.5),2022-04-29T21:27:00.000Z,True
Starlink 4-17 (v1.5),2022-05-06T09:42:00.000Z,True
Starlink 4-13 (v1.5),2022-05-13T22:07:00.000Z,True
Starlink 4-15 (v1.5),2022-05-14T20:40:00.000Z,True
Starlink 4-18 (v1.5),2022-05-18T10:40:00.000Z,True
Transporter-5,2022-05-25T18:27:00.000Z,True
Nilesat-301,2022-06-08T21:04:00.000Z,True
Starlink 4-19 (v1.5),2022-06-01T17:08:50.000Z,True
SARah 1,2022-06-18T14:19:00.000Z,True
Globalstar FM15,2022-06-19T04:27:00.000Z,True
SES-22,2022-06-29T21:04:00.000Z,True
Starlink 4-21 (v1.5),2022-07-07T13:11:00.000Z,True
Starlink 3-1 (v1.5),2022-07-11T01:39:00.000Z,
CRS-25,2022-07-15T00:44:00.000Z,True
Starlink 4-22 (v1.5),2022-07-17T14:50:00.000Z,True
Starlink 3-2 (v1.5),2022-07-21T17:13:00.000Z,True
Starlink 4-25 (v1.5),2022-07-24T00:00:00.000Z,True
KPLO,2022-08-04T23:08:00.000Z,True
Starlink 4-26 (v1.5),2022-08-09T22:57:00.000Z,True
Starlink 3-3 (v1.5),2022-08-12T21:30:00.000Z,True
Starlink 4-27 (v1.5),2022-08-19T19:24:00.000Z,True
Starlink 4-23 (v1.5),2022-08-28T02:22:00.000Z,True
Starlink 3-4 (v1.5),2022-08-31T05:40:00.000Z,True
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,2022-09-05T02:09:00.000Z,True
Starlink 4-2 (v1.5) & Blue Walker 3,2022-09-11T01:10:00.000Z,True
Starlink 4-34 (v1.5),2022-09-17T01:05:00.000Z,True
Starlink 4-35 (v1.5),2022-09-24T23:30:00.000Z,True
Crew-5,2022-10-05T16:00:00.000Z,True
